sen,words,label
قال الطالب : أنا ناجح,قال : فعل ماضي,1
قال الطالب : أنا ناجح,الطالب : فاعل مرفوع وعلامة رفعه الضمة,1
قال الطالب : أنا ناجح,أنا : ضمير مبني في محل رفع مبتدأ,1
قال الطالب : أنا ناجح,ناجح : خبر مرفوع وعلامة رفعه الضمة,1
المرضى نائمون,المرضى : مبتدأ مرفوع وعلامة رفعه الضمة المقدرة على الألف,1
المرضى نائمون,نائمون : خبر مرفوع وعلامة رفعه الواو لأنه جمع مذكر سالم,1
الطائر يطير في السماء,الطائر : مبتدأ مرفوع وعلامة رفعه الضمة الظاهرة على آخره,1
الطائر يطير في السماء,"يطير : فعل مضارع مرفوع وعلامة رفعه الضمة الظاهرة على آخره،والفاعل ضمير مستتر تقديره ""هو"" يعود على الطائر",1
الطائر يطير في السماء,في : حرف جر,1
الطائر يطير في السماء,"السماء : اسم مجرور بـ ""في"" وعلامة جره الكسرة الظاهرة على آخره",1
الذي يفوز فله جائزة,الذي : اسم موصول متضمن معنى الشرط،مبني على السكون في محل رفع مبتدأ,1
الذي يفوز فله جائزة,يفوز : فعل مضارع مرفوع،وعلامة رفعه الضمة الظاهرة على آخره,1
الذي يفوز فله جائزة,"الفاعل : ضمير مستتر جوازا تقديره ""هو""",1
الذي يفوز فله جائزة,"فله : الفاء : رابطة جواب الشرط ""الذي"" تضمنه اسم الموصول،اللام : حرف جر مبني على الفتح لا محل له من الإعراب،الهاء : ضمير متصل في محل جر بحرف الجر ""اللام""،وشبه الجملة ""له"" في محل رفع خبر مقدم للمبتدأ ""جائزة""",1
الذي يفوز فله جائزة,جائزة : مبتدأ مؤخر مرفوع وعلامة رفعه الضمة الظاهرة على آخره,1
إن العلم طريقه طويلة,إن : حرف توكيد ونصب مبني على الفتحة لا محل له من الإعراب,1
إن العلم طريقه طويلة,العلم : اسم إن منصوب وعلامة نصبه الفتحة الظاهرة على آخره,1
إن العلم طريقه طويلة,طريقه : مبتدأ مرفوع وعلامة رفعه الضمة الظاهرة، وهو مضاف، والهاء : ضمير متصل مبني على الضم في محل جر مضاف إليه,1
إن العلم طريقه طويلة,طويلة : خبر المبتدأ مرفوع وعلامة رفعه الضمة الظاهرة على آخره,1
قال الطالب : أنا مجد,قال : فعل ماض مبني على الفتحة الظاهرة على آخره,1
قال الطالب : أنا مجد,الطالب : فاعل مرفوع وعلامة رفعه الضمة الظاهرة على آخره,1
قال الطالب : أنا مجد,أنا : ضمير منفصل مبني على السكون في محل رفع مبتدأ,1
قال الطالب : أنا مجد,مجد : خبر المبتدأ مرفوع وعلامة رفعه تنوين الضم الظاهر على آخره,1
رأيتها حين جاءت,رأيتها : رأى : فعل ماضي،التاء : ضمير متصل مبني في محل رفع فاعل،الهاء : ضمير متصل مبني في محل نصب مفعول به,1
رأيتها حين جاءت,حين : ظرف زمان,1
رأيتها حين جاءت,"جاءت : جاء : فعل ماضي، التاء : تاء الفاعل،وجملة ""جاءت"" في محل جر مضاف إليه",1
الطالبان مجدان,الطالبان : مبتدأ مرفوع، وعلامة رفعه الألف لأنه مثنى,1
الطالبان مجدان,مجدان : خبر مرفوع، وعلامة رفعه الألف لأنه مثنى,1
وإن عليكم لحافظين,إن : حرف توكيد ونصب مشبه بالفعل,1
وإن عليكم لحافظين,ينصب المبتدأ ويرفع الخبر،مبني على الفتح،لا محل له من الإعراب,1
وإن عليكم لحافظين,عليكم : خبر إن شبه جملة مقدم،في محل نصب,1
وإن عليكم لحافظين,على : حرف جر مبني على السكون,1
وإن عليكم لحافظين,"كم : ضمير مبني على السكون في محل جر اسم مجرور ل ""على""",1
وإن عليكم لحافظين,لحافظين : اسم إن منصوب وعلامة نصبه الياء نيابة عن الفتحة لأنه جمع مذكر سالم واللام للتوكيد,1
ابتعد عن قرين السوء,"ابتعد : فعل أمر مبني على السكون،والفاعل ضمير مستتر وجوباتقديره ""أنت""",1
ابتعد عن قرين السوء,عن : حرف جر مبني على السكون,1
ابتعد عن قرين السوء,"قرين : اسم مجرور بحرف الجر ""عن""،وعلامة جره الكسرة الظاهرة على آخره",1
ابتعد عن قرين السوء,وهو مضاف,1
ابتعد عن قرين السوء,السوء : مضاف إليه مجرور وعلامة جره الكسرة الظاهرة على آخره,1
